Date,Open,High,Low,Close,Volume,Market Cap
2022/7/9,21594.75,21980,21322.12,21591.83,178417.8447,178417.8447
2022/7/8,21624.99,22527.37,21189.26,21594.75,403081.5735,403081.5735
2022/7/7,20564.51,21838.1,20251.68,21624.98,85014.58261,85014.58261
2022/7/6,20175.84,20675.22,19761.25,20564.51,82439.5808,82439.5808
2022/7/5,20236.71,20750,19304.4,20175.83,96041.13756,96041.13756
2022/7/4,19315.83,20354.01,19055.31,20236.71,74814.04601,74814.04601
2022/7/3,19252.82,19647.63,18781,19315.83,51087.46631,51087.46631
2022/7/2,19279.8,19467.39,18977.01,19252.81,46180.3021,46180.3021
2022/7/1,19942.21,20918.35,18975,19279.8,111844.5949,111844.5949
2022/6/30,20123,20179.08,18626,19942.21,93846.64806,93846.64806
2022/6/29,20281.28,20432.31,19854.92,20123.01,77309.04379,77309.04379
2022/6/28,20742.57,21212.1,20202.01,20281.29,63801.0832,63801.0832
2022/6/27,21038.08,21539.85,20510,20742.56,64475.0013,64475.0013
2022/6/26,21491.18,21888,20964.73,21038.07,53278.10464,53278.10464
2022/6/25,21237.68,21614.5,20906.62,21491.19,51431.67794,51431.67794
2022/6/24,21110.12,21558.41,20736.72,21237.69,77430.36622,77430.36622
2022/6/23,19988,21233,19890.07,21110.13,83127.08716,83127.08716
2022/6/22,20723.51,20900,19770.51,19987.99,92133.97938,92133.97938
2022/6/21,20573.9,21723,20348.4,20723.52,104371.0749,104371.0749
2022/6/20,20574,21090,19637.03,20573.89,109028.9415,109028.9415
2022/6/19,18970.79,20815.95,17960.41,20574,128320.876,128320.876
2022/6/18,20468.81,20792.06,17622,18970.79,196441.6555,196441.6555
2022/6/17,20400.6,21365.43,20246.66,20468.81,86694.33663,86694.33663
2022/6/16,22583.72,22995.73,20232,20401.31,99673.59429,99673.59429
2022/6/15,22136.42,22800,20111.62,22583.72,200774.4935,200774.4935
2022/6/14,22485.27,23362.88,20846,22136.41,187201.6467,187201.6467
2022/6/13,26574.53,26895.84,21925.77,22487.41,254611.035,254611.035
2022/6/12,28424.71,28544.96,26560,26574.53,92474.59881,92474.59881
2022/6/11,29091.87,29440.41,28099.99,28424.7,65901.39895,65901.39895
2022/6/10,30109.93,30382.8,28850,29091.88,76204.2498,76204.2498
2022/6/9,30204.77,30700,29944.1,30109.93,46291.1865,46291.1865
2022/6/8,31125.32,31327.22,29843.88,30204.77,68542.61276,68542.61276
2022/6/7,31373.1,31589.6,29218.96,31125.33,110674.5166,110674.5166
2022/6/6,29919.2,31765.64,29890.23,31373.1,68836.92456,68836.92456
2022/6/5,29864.03,30189,29531.42,29919.21,23139.9281,23139.9281
2022/6/4,29700.21,29988.88,29485,29864.04,25617.90113,25617.90113
2022/6/3,30452.63,30699,29282.36,29700.21,54067.44727,54067.44727
2022/6/2,29805.84,30689,29594.55,30452.62,56961.42928,56961.42928
2022/6/1,31801.05,31982.97,29301,29805.83,103395.6338,103395.6338
2022/5/31,31734.23,32399,31200.01,31801.04,62433.11632,62433.11632
2022/5/30,29468.1,32222,29299.62,31734.22,96785.9476,96785.9476
2022/5/29,29031.33,29587.78,28839.21,29468.1,27567.34764,27567.34764
2022/5/28,28629.81,29266,28450,29031.33,34479.35127,34479.35127
2022/5/27,29201.35,29397.66,28282.9,28629.8,90998.5201,90998.5201
2022/5/26,29542.14,29886.64,28019.56,29201.35,94581.65463,94581.65463
2022/5/25,29654.58,30223.74,29294.21,29542.15,59537.38659,59537.38659
2022/5/24,29109.14,29845.86,28669,29654.58,59442.96036,59442.96036
2022/5/23,30293.93,30670.51,28866.35,29109.15,63901.49932,63901.49932
2022/5/22,29445.07,30487.99,29255.11,30293.94,36158.98748,36158.98748
2022/5/21,29201.01,29656.18,28947.28,29445.06,20987.13124,20987.13124
2022/5/20,30319.22,30777.33,28730,29201.01,60517.25325,60517.25325
2022/5/19,28715.33,30545.18,28691.38,30319.23,67877.36415,67877.36415
2022/5/18,30444.93,30709.99,28654.47,28715.32,59749.15799,59749.15799
2022/5/17,29874.01,30788.37,29450.38,30444.93,56724.13307,56724.13307
2022/5/16,31328.89,31328.9,29087.04,29874.01,73082.19658,73082.19658
2022/5/15,30086.74,31460,29480,31328.89,46275.66912,46275.66912
2022/5/14,29287.05,30343.27,28630,30086.74,51095.87863,51095.87863
2022/5/13,29029.74,31083.37,28751.67,29287.05,97872.36957,97872.36957
2022/5/12,29103.94,30243,26700,29029.75,204507.2631,204507.2631
2022/5/11,31017.11,32162.59,27785,29103.94,207063.7393,207063.7393
